Cue,Label,Notes,Up Time,Down Time
1/28,Szene 1 – „Die Nerven liegen blank“ MARA,Durchlauf. Jetzt.,,
1/29,Szene 1 – „Die Nerven liegen blank“ PASCAL,"setzt ein Headset auf, zeigt „Startposition“. NINA und LEO gehen an ihre Markierungen.",,
1/30,Szene 1 – „Die Nerven liegen blank“ PASCAL,"Ready. Auf mein „Go“. (in Intercom-Positur) Standby Szene 1: Cue 1, Cue 2, Cue 3.",,
1/31,Szene 1 – „Die Nerven liegen blank“ CUE,Standby bestätigt.,,
1/32,Szene 1 – „Die Nerven liegen blank“ MARA,Und… los.,,
1/33,Szene 2 – „Das Stück kippt – und fängt sich“,Licht: Warmes Bühnenbild. NINA und LEO spielen. MARA beobachtet. PASCAL schaut,,
1/34,Szene 2 – „Das Stück kippt – und fängt sich“,zwischen Script und Laptop.,,
1/35,Szene 2 – „Das Stück kippt – und fängt sich“ NINA,Du warst nie wirklich weg. Du warst nur… nicht hier.,,
1/36,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,Und du warst nie wirklich hier. Du warst nur… laut.,,
1/37,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,nickt minimal: Das ist gut. PASCAL hebt die Hand.,,
1/38,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,Go Cue 2. Licht ändert sich subtil. Alles läuft.,,
1/39,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,Sag’s. Jetzt. Oder nie.,,
1/40,Szene 2 – „Das Stück kippt – und fängt sich“ NINA,Ich… ich kann nicht.,,
1/41,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,Standby Cue 3.,,
1/42,Szene 2 – „Das Stück kippt – und fängt sich“ CUE,Warnung: Cue 3 ist nicht definiert. Vorschlag: Cue 3a verwenden.,,
1/43,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,"friert einen halben Schlag zu früh – er merkt, dass etwas nicht stimmt. Seite 2",,
1/44,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,Was heißt „nicht definiert“?,,
1/45,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,Leo! Bleib drin!,,
1/46,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,"Cue 3 fehlt in Version fünf. Es gibt nur 3a, 3b und 3c.",,
1/47,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,Welche Stimmung willst du?,,
1/48,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,Die… die harte Kante. Der Bruch.,,
1/49,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,Dann ist das 3b.,,
1/50,Szene 2 – „Das Stück kippt – und fängt sich“ CUE,"Cue 3b: „Kalte Kante, Kontrast hoch“. Bereit.",,
1/51,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,"Standby 3b… und Go. Licht kippt deutlich, die Szene bekommt Schärfe. LEO und NINA finden sofort wieder ins Spiel.",,
1/52,Szene 2 – „Das Stück kippt – und fängt sich“ NINA,Dann sag ich es eben für uns beide: Ich habe Angst.,,
1/53,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,Endlich.,,
1/54,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,"atmet. Man sieht: Sie will unterbrechen, tut es aber nicht. Es läuft. Für einen Moment ist alles stimmig. Plötzlich tritt FRAU STEIN von der Seite auf – Clipboard, Uhr, kontrollierte Präsenz.",,
1/55,Szene 2 – „Das Stück kippt – und fängt sich“ FRAU STEIN,Mara. Pascal. Ein Moment.,,
1/56,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,hält kurz die Hand hoch „gleich“. FRAU STEIN wartet keine Sekunde.,,
1/57,Szene 2 – „Das Stück kippt – und fängt sich“ FRAU STEIN,"Morgen ist Premiere. Presse sitzt. Wir haben heute noch genau… (blickt auf die Uhr) …vierzig Minuten. Wenn ich noch einmal „Cue fehlt“ höre, streichen wir Effekte und spielen im Arbeitslicht. Klar? Stille. Das ist die Drohung, die niemand hören will.",,
1/58,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,Arbeitslicht ist ehrlich. Aber hässlich.,,
1/59,Szene 2 – „Das Stück kippt – und fängt sich“ NINA,"Wir schaffen das. Wenn wir aufhören, uns zu bekämpfen.",,
1/60,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,"Frau Stein, wir können das stabilisieren. Aber dann gilt: Ab jetzt keine neuen Änderungen ohne Ansage. Mara: Final heißt final.",,
1/61,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,"Du hast recht. (an alle) Stopp. Kurzer Reset. Pascal, sag mir, was du brauchst. Jetzt konkret.",,
1/62,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,"Zwei Dinge. Erstens: Finaler Cue-Plan als eine Version, die nicht „lebt“. Zweitens: Wir definieren die fehlenden Übergänge sofort: 3, 7 und 11.",,
1/63,Szene 2 – „Das Stück kippt – und fängt sich“ CUE,Hinweis: 7 und 11 sind ebenfalls nicht definiert.,,
1/64,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,"Danke, CUE. Wirklich.",,
1/65,Szene 2 – „Das Stück kippt – und fängt sich“ CUE,Gern. Ich optimiere die Wahrheit nicht.,,
1/66,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,"Gut. Wir definieren es jetzt. Cue 3 ist 3b. Cue 7: Traum, weich, Hoffnung. Cue 11: Ende. Kein Pathos. Klarheit.",,
1/67,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,"Verstanden. CUE, lege Cue 7 als „weich, Hoffnung“ an. Cue 11 als „klar, ruhig“.",,
1/68,Szene 2 – „Das Stück kippt – und fängt sich“ CUE,Bestätigung: Cue 7 erstellt. Cue 11 erstellt. Status: vollständig.,,
1/69,Szene 2 – „Das Stück kippt – und fängt sich“ FRAU STEIN,So will ich das hören. (geht ab) Ein Moment: Alle sind erschöpft – und gleichzeitig wieder ein Team.,,
1/70,Szene 2 – „Das Stück kippt – und fängt sich“ NINA,Du musst nicht alles allein tragen. Seite 3,,
1/71,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,"Ich weiß. Ich vergesse es nur, wenn’s brennt.",,
1/72,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,"Dann sag „es brennt“, bevor es brennt.",,
1/73,Szene 2 – „Das Stück kippt – und fängt sich“ LEO,"Und ich… bleibe im Spiel, auch wenn’s wackelt. Aber wenn’s dunkel wird, sag’s vorher.",,
1/74,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,Deal.,,
1/75,Szene 2 – „Das Stück kippt – und fängt sich“ MARA,Okay. Noch einmal ab der Stelle. Und diesmal läuft’s durch. Wir sind nicht perfekt. Aber wir sind bereit.,,
1/76,Szene 2 – „Das Stück kippt – und fängt sich“ PASCAL,Standby Cue 3b.,,
1/77,Szene 2 – „Das Stück kippt – und fängt sich“ CUE,Standby bestätigt.,,
1/78,Szene 2 – „Das Stück kippt – und fängt sich“ NINA,Du warst nie wirklich weg… Licht: sauberer Übergang. Die Probe geht weiter. Das Stück hat wieder Boden unter den Füßen. BLACKOUT. Seite 4,,
